loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
114,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,approved
115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,rejected
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,approved
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,rejected
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000,approved
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,rejected
120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,approved
121,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000,rejected
122,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000,rejected
123,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,approved
124,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,approved
125,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,approved
126,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000,approved
127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000,approved
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000,rejected
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,rejected
130,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000,approved
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,approved
132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,rejected
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,rejected
134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,rejected
135,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000,approved
136,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000,rejected
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000,approved
138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,rejected
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,approved
140,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000,rejected
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,approved
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,approved
143,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,approved
144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,rejected
145,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,approved
146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000,rejected
147,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,approved
148,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000,approved
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,approved
150,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,rejected
151,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,rejected
152,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,approved
153,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,approved
154,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000,rejected
155,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,rejected
156,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000,approved
157,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,approved
158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,rejected
159,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000,approved
160,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,rejected
161,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,approved
162,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,approved
163,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,rejected
164,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,approved
165,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,approved
166,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000,approved
167,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000,approved
168,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,rejected
169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,rejected
170,0, Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,approved
171,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,approved
172,0, Not Graduate, No,1900000,4100000,18,801,400000,800000,4800000,1200000,approved
173,3, Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,approved
174,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,rejected
175,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,rejected
176,2, Graduate, No,1800000,5300000,6,826,4500000,700000,6500000,1300000,approved
177,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,approved
178,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,rejected
179,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,approved
180,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,rejected
181,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,approved
182,0, Graduate, Yes,900000,2200000,16,566,100000,700000,2000000,600000,approved
183,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,approved
184,2, Not Graduate, No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,approved
185,4, Graduate, No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,approved
186,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,approved
187,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,approved
188,3, Graduate, Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,approved
189,5, Not Graduate, Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,approved
190,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,rejected
191,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,rejected
192,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,approved
193,1, Graduate, No,800000,2900000,8,682,2200000,1100000,2900000,700000,approved
194,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,approved
195,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,approved
196,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,rejected
197,4, Not Graduate, Yes,400000,1500000,2,669,-100000,600000,900000,500000,approved
198,2, Not Graduate, No,2800000,6000000,18,816,6300000,4200000,8000000,3400000,approved
199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,rejected
200,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,rejected
201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,rejected
202,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,rejected
203,2, Graduate, No,500000,1500000,2,888,1500000,300000,1500000,600000,approved
204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,rejected
205,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,approved
206,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,10400000,3200000,approved
207,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,38600000,13400000,approved
208,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,approved
209,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,rejected
210,3, Graduate, No,1400000,3300000,2,652,100000,2100000,3500000,1900000,approved
211,3, Graduate, No,7800000,15900000,2,665,14400000,900000,27200000,5400000,approved
212,5, Not Graduate, Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,rejected
213,2, Not Graduate, No,8500000,32700000,18,471,12600000,9400000,33900000,12500000,rejected
214,5, Not Graduate, No,1900000,7500000,20,715,5100000,2800000,6500000,2800000,approved
215,2, Not Graduate, Yes,6700000,15200000,10,689,0,8200000,15000000,6800000,approved
216,3, Graduate, Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,approved
217,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,approved
218,4, Graduate, Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,approved
219,1, Not Graduate, Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000,approved
220,0, Not Graduate, No,3200000,11300000,6,484,3500000,5500000,8500000,2100000,rejected
221,4, Not Graduate, No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,approved
222,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,approved
223,4, Not Graduate, Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,rejected
224,4, Graduate, Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,rejected
225,3, Not Graduate, Yes,700000,1700000,8,733,1200000,800000,2400000,500000,approved
226,0, Not Graduate, No,5200000,15600000,20,434,14100000,5800000,18100000,5500000,rejected
227,3, Not Graduate, Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000,approved
228,4, Graduate, No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,approved
229,1, Not Graduate, Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000,approved
230,3, Not Graduate, Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000,rejected
231,1, Graduate, Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000,approved
232,2, Graduate, No,9800000,32400000,2,543,24200000,17500000,25700000,7700000,approved
233,0, Not Graduate, Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000,approved
234,3, Not Graduate, Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000,rejected
235,5, Not Graduate, Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000,approved
236,1, Graduate, Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000,approved
237,3, Graduate, Yes,900000,3500000,4,770,700000,0,2000000,600000,rejected
238,3, Graduate, Yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000,approved
239,3, Not Graduate, Yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000,approved
240,5, Graduate, Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,rejected
241,2, Graduate, No,9600000,22500000,18,851,7400000,16200000,24300000,12700000,approved
242,3, Not Graduate, Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000,rejected
243,5, Graduate, No,5700000,12900000,18,807,4100000,900000,18600000,5500000,approved
244,1, Not Graduate, Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000,approved
245,2, Not Graduate, No,2100000,5100000,12,674,2200000,3200000,6400000,2400000,approved
246,1, Not Graduate, Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000,approved
247,2, Not Graduate, No,8000000,29300000,4,600,16500000,13200000,29400000,6500000,approved
248,0, Not Graduate, Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000,rejected
249,0, Graduate, No,8400000,20600000,10,477,1500000,1500000,25000000,11900000,rejected
250,1, Not Graduate, Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000,approved
251,0, Not Graduate, Yes,4200000,16400000,20,539,9500000,2100000,11400000,3100000,rejected
252,5, Graduate, No,2600000,9100000,8,852,3700000,700000,10300000,3300000,approved
253,3, Not Graduate, No,3700000,8500000,20,853,8300000,5700000,7500000,4900000,approved
254,0, Graduate, No,8800000,30900000,12,729,1700000,700000,25700000,11400000,approved
255,2, Not Graduate, No,2100000,4700000,2,546,6000000,3200000,5700000,1500000,rejected
256,3, Graduate, Yes,900000,2400000,10,489,800000,0,2800000,500000,rejected
257,3, Graduate, Yes,9800000,35400000,6,869,14400000,16400000,22800000,10300000,approved
258,2, Not Graduate, No,8000000,20000000,2,502,4100000,2200000,31600000,9900000,rejected
259,0, Graduate, No,9800000,38800000,8,652,23200000,19000000,29700000,5400000,approved
260,0, Not Graduate, Yes,300000,1100000,8,789,400000,100000,800000,400000,approved
261,4, Not Graduate, No,2700000,8100000,4,325,5000000,800000,9900000,3400000,approved
262,3, Graduate, Yes,7400000,19600000,2,716,4100000,8900000,29100000,4200000,approved
263,3, Graduate, No,9200000,34300000,18,523,25600000,4000000,29100000,8800000,rejected
264,5, Not Graduate, No,9500000,22200000,20,352,24500000,0,30800000,7000000,rejected
265,5, Graduate, Yes,3800000,14400000,2,345,3300000,800000,13000000,4700000,approved
266,0, Graduate, No,8300000,19400000,18,649,2500000,16100000,24300000,11300000,approved
267,2, Graduate, Yes,2800000,7400000,18,666,100000,2300000,6300000,3400000,approved
268,0, Graduate, No,8600000,20900000,10,813,11300000,11900000,26000000,4800000,approved
269,0, Not Graduate, No,5400000,16800000,10,599,5300000,7400000,14500000,7600000,approved
270,5, Graduate, Yes,4200000,9400000,6,678,4700000,5500000,9900000,5700000,approved
271,5, Not Graduate, No,5200000,12200000,20,513,13400000,2000000,16800000,5400000,rejected
272,5, Graduate, No,9400000,27900000,4,870,1100000,200000,29500000,10400000,approved
273,3, Graduate, No,8800000,20400000,8,483,3200000,11400000,28200000,11800000,rejected
274,1, Graduate, Yes,5900000,16700000,16,308,5800000,8800000,19100000,5300000,rejected
275,3, Graduate, Yes,1700000,4900000,16,591,4700000,1000000,4300000,1400000,approved
276,1, Not Graduate, No,7000000,23000000,10,886,14000000,3700000,26700000,3600000,approved
277,4, Not Graduate, No,1700000,4000000,6,829,0,1600000,5200000,1700000,approved
278,0, Not Graduate, No,1500000,4900000,12,651,1600000,2800000,4600000,800000,approved
279,4, Not Graduate, No,2000000,4700000,18,733,3700000,3700000,7000000,2800000,approved
280,5, Graduate, Yes,3900000,15500000,12,433,9500000,5400000,7900000,4600000,rejected
281,1, Graduate, Yes,900000,3600000,14,713,1300000,1000000,1800000,1200000,approved
282,1, Graduate, No,6900000,22500000,18,403,800000,8400000,16900000,6300000,rejected
283,0, Graduate, Yes,2800000,7800000,10,405,7800000,2500000,7100000,3400000,rejected
284,3, Graduate, Yes,6800000,19900000,10,516,16000000,6000000,26000000,8500000,rejected
285,4, Not Graduate, Yes,600000,1800000,8,417,1700000,700000,1800000,800000,rejected
286,1, Not Graduate, No,4700000,14000000,6,468,11300000,1800000,10600000,4600000,rejected
287,5, Graduate, Yes,3000000,11800000,10,672,8700000,3600000,9800000,4100000,approved
288,5, Not Graduate, No,4000000,13900000,6,530,6000000,5600000,12500000,6000000,rejected
289,1, Not Graduate, Yes,3100000,11300000,14,824,3700000,6000000,11000000,4400000,approved
290,1, Not Graduate, Yes,7700000,25500000,12,549,18100000,10600000,20500000,7000000,rejected
291,5, Not Graduate, Yes,4300000,9300000,10,450,2100000,6700000,10000000,4100000,rejected
292,1, Graduate, Yes,5800000,19500000,20,431,13800000,5000000,15600000,3300000,rejected
293,3, Graduate, Yes,3600000,10700000,16,312,2300000,1600000,13100000,5200000,rejected
294,0, Not Graduate, Yes,2900000,7600000,8,320,8000000,5600000,9600000,3100000,rejected
295,0, Graduate, No,8800000,20200000,4,433,16000000,4200000,30500000,12400000,rejected
296,1, Not Graduate, Yes,300000,1000000,10,431,400000,500000,900000,100000,rejected
297,5, Not Graduate, Yes,8600000,28900000,8,516,9900000,1800000,30200000,6800000,rejected
298,2, Not Graduate, Yes,3500000,12000000,14,476,1100000,6800000,12400000,2900000,rejected
299,5, Graduate, No,800000,2600000,6,560,100000,200000,3000000,1000000,approved
300,2, Graduate, No,8000000,27100000,12,674,14400000,400000,25300000,6400000,approved
301,0, Not Graduate, Yes,9900000,38200000,6,573,17200000,10000000,20100000,5900000,approved
302,2, Not Graduate, No,3300000,6600000,6,331,6300000,2000000,8900000,2700000,rejected
303,4, Graduate, Yes,2000000,6700000,12,633,100000,800000,4800000,2000000,approved
304,3, Not Graduate, No,4900000,12900000,18,877,1800000,7000000,17900000,3300000,approved
305,5, Not Graduate, Yes,9200000,23600000,12,656,1400000,11200000,36400000,4900000,approved
306,0, Not Graduate, No,7500000,18200000,6,782,7400000,12000000,19800000,4100000,approved
307,5, Not Graduate, No,9000000,29300000,4,531,10400000,9500000,35500000,5800000,approved
308,3, Not Graduate, No,1400000,4100000,8,455,3000000,1400000,2900000,2100000,rejected
309,3, Graduate, No,9600000,19900000,14,452,4200000,16200000,28500000,6600000,rejected
310,2, Graduate, No,8400000,33200000,14,474,19600000,15000000,25400000,11500000,rejected
311,3, Not Graduate, No,6400000,24400000,4,483,7800000,2400000,19100000,4500000,approved
312,4, Graduate, No,5900000,16800000,8,481,6900000,11400000,19500000,3300000,rejected
313,2, Graduate, Yes,2200000,5100000,20,859,3800000,1200000,6400000,3100000,approved
314,4, Graduate, Yes,5600000,14100000,14,696,9000000,9200000,16500000,6800000,approved
315,4, Not Graduate, No,9800000,28700000,6,778,16600000,7400000,29700000,11100000,approved
